              k             kx             ky         energy
              k             kx             ky            wf1            wf2            wf3            wf4            wf5            wf6            wf7            wf8
         -3.142         -0.000         -3.142        -15.787        -11.996         -7.891         -2.768          3.523          9.410         10.941         19.192
         -3.136         -0.000         -3.136        -15.779        -12.009         -7.897         -2.756          3.504          9.413         10.942         19.200
         -3.131         -0.000         -3.131        -15.772        -12.022         -7.903         -2.745          3.485          9.415         10.942         19.207
         -3.126         -0.000         -3.126        -15.764        -12.034         -7.908         -2.733          3.466          9.418         10.942         19.215
         -3.121         -0.000         -3.121        -15.756        -12.047         -7.914         -2.721          3.448          9.420         10.943         19.223
         -3.115         -0.000         -3.115        -15.748        -12.060         -7.920         -2.710          3.429          9.422         10.943         19.231
         -3.110         -0.000         -3.110        -15.741        -12.072         -7.925         -2.698          3.410          9.425         10.943         19.238
         -3.105         -0.000         -3.105        -15.733        -12.085         -7.931         -2.686          3.392          9.427         10.943         19.246
         -3.100         -0.000         -3.100        -15.725        -12.098         -7.936         -2.675          3.373          9.429         10.944         19.254
         -3.094         -0.000         -3.094        -15.717        -12.110         -7.942         -2.663          3.355          9.432         10.944         19.262
         -3.089         -0.000         -3.089        -15.710        -12.123         -7.948         -2.651          3.336          9.434         10.944         19.270
         -3.084         -0.000         -3.084        -15.702        -12.135         -7.953         -2.640          3.318          9.436         10.944         19.277
         -3.079         -0.000         -3.079        -15.694        -12.147         -7.959         -2.628          3.299          9.438         10.944         19.285
         -3.074         -0.000         -3.074        -15.686        -12.160         -7.964         -2.616          3.281          9.441         10.944         19.293
         -3.068         -0.000         -3.068        -15.679        -12.172         -7.970         -2.605          3.263          9.443         10.944         19.301
         -3.063         -0.000         -3.063        -15.671        -12.184         -7.975         -2.593          3.245          9.445         10.944         19.309
         -3.058         -0.000         -3.058        -15.663        -12.196         -7.980         -2.582          3.227          9.447         10.944         19.317
         -3.053         -0.000         -3.053        -15.655        -12.209         -7.986         -2.570          3.208          9.449         10.944         19.325
         -3.047         -0.000         -3.047        -15.648        -12.221         -7.991         -2.558          3.190          9.451         10.943         19.333
         -3.042         -0.000         -3.042        -15.640        -12.233         -7.997         -2.547          3.172          9.453         10.943         19.341
         -3.037         -0.000         -3.037        -15.632        -12.245         -8.002         -2.535          3.154          9.455         10.943         19.349
         -3.032         -0.000         -3.032        -15.624        -12.257         -8.007         -2.524          3.137          9.457         10.943         19.357
         -3.026         -0.000         -3.026        -15.617        -12.269         -8.013         -2.512          3.119          9.459         10.942         19.365
         -3.021         -0.000         -3.021        -15.609        -12.281         -8.018         -2.501          3.101          9.462         10.942         19.373
         -3.016         -0.000         -3.016        -15.601        -12.293         -8.023         -2.489          3.083          9.464         10.942         19.381
         -3.011         -0.000         -3.011        -15.593        -12.305         -8.028         -2.478          3.065          9.465         10.941         19.389
         -3.005         -0.000         -3.005        -15.586        -12.316         -8.034         -2.466          3.048          9.467         10.941         19.397
         -3.000         -0.000         -3.000        -15.578        -12.328         -8.039         -2.454          3.030          9.469         10.940         19.405
         -2.995         -0.000         -2.995        -15.570        -12.340         -8.044         -2.443          3.013          9.471         10.940         19.413
