             kx             ky    energy_plus   energy_minus
         -1.000         -1.000         -5.055          8.709
         -1.000         -0.980         -4.978          8.476
         -1.000         -0.960         -4.892          8.223
         -1.000         -0.939         -4.797          7.952
         -1.000         -0.919         -4.695          7.665
         -1.000         -0.899         -4.584          7.366
         -1.000         -0.879         -4.466          7.058
         -1.000         -0.859         -4.342          6.743
         -1.000         -0.838         -4.212          6.424
         -1.000         -0.818         -4.077          6.105
         -1.000         -0.798         -3.939          5.790
         -1.000         -0.778         -3.798          5.481
         -1.000         -0.758         -3.658          5.182
         -1.000         -0.737         -3.519          4.898
         -1.000         -0.717         -3.385          4.631
         -1.000         -0.697         -3.258          4.387
         -1.000         -0.677         -3.143          4.171
         -1.000         -0.657         -3.041          3.985
         -1.000         -0.636         -2.958          3.836
         -1.000         -0.616         -2.896          3.728
         -1.000         -0.596         -2.858          3.663
         -1.000         -0.576         -2.847          3.643
         -1.000         -0.556         -2.863          3.670
         -1.000         -0.535         -2.904          3.742
         -1.000         -0.515         -2.970          3.857
         -1.000         -0.495         -3.056          4.012
         -1.000         -0.475         -3.160          4.203
         -1.000         -0.455         -3.278          4.424
         -1.000         -0.434         -3.406          4.672
         -1.000         -0.414         -3.541          4.941
         -1.000         -0.394         -3.680          5.228
         -1.000         -0.374         -3.820          5.529
         -1.000         -0.354         -3.960          5.839
         -1.000         -0.333         -4.098          6.156
         -1.000         -0.313         -4.233          6.474
         -1.000         -0.293         -4.362          6.793
         -1.000         -0.273         -4.485          7.107
         -1.000         -0.253         -4.602          7.414
         -1.000         -0.232         -4.711          7.711
         -1.000         -0.212         -4.813          7.995
         -1.000         -0.192         -4.906          8.264
         -1.000         -0.172         -4.991          8.514
         -1.000         -0.152         -5.067          8.744
         -1.000         -0.131         -5.134          8.950
         -1.000         -0.111         -5.191          9.131
         -1.000         -0.091         -5.239          9.285
         -1.000         -0.071         -5.278          9.410
         -1.000         -0.051         -5.307          9.505
         -1.000         -0.030         -5.326          9.569
         -1.000         -0.010         -5.336          9.601
         -1.000          0.010         -5.336          9.601
         -1.000          0.030         -5.326          9.569
         -1.000          0.051         -5.307          9.505
         -1.000          0.071         -5.278          9.410
         -1.000          0.091         -5.239          9.285
         -1.000          0.111         -5.191          9.131
         -1.000          0.131         -5.134          8.950
         -1.000          0.152         -5.067          8.744
         -1.000          0.172         -4.991          8.514
         -1.000          0.192         -4.906          8.264
         -1.000          0.212         -4.813          7.995
         -1.000          0.232         -4.711          7.711
         -1.000          0.253         -4.602          7.414
         -1.000          0.273         -4.485          7.107
         -1.000          0.293         -4.362          6.793
         -1.000          0.313         -4.233          6.474
         -1.000          0.333         -4.098          6.156
         -1.000          0.354         -3.960          5.839
         -1.000          0.374         -3.820          5.529
         -1.000          0.394         -3.680          5.228
         -1.000          0.414         -3.541          4.941
         -1.000          0.434         -3.406          4.672
         -1.000          0.455         -3.278          4.424
         -1.000          0.475         -3.160          4.203
         -1.000          0.495         -3.056          4.012
         -1.000          0.515         -2.970          3.857
         -1.000          0.535         -2.904          3.742
         -1.000          0.556         -2.863          3.670
         -1.000          0.576         -2.847          3.643
         -1.000          0.596         -2.858          3.663
         -1.000          0.616         -2.896          3.728
         -1.000          0.636         -2.958          3.836
         -1.000          0.657         -3.041          3.985
         -1.000          0.677         -3.143          4.171
         -1.000          0.697         -3.258          4.387
         -1.000          0.717         -3.385          4.631
         -1.000          0.737         -3.519          4.898
         -1.000          0.758         -3.658          5.182
         -1.000          0.778         -3.798          5.481
         -1.000          0.798         -3.939          5.790
         -1.000          0.818         -4.077          6.105
         -1.000          0.838         -4.212          6.424
         -1.000          0.859         -4.342          6.743
         -1.000          0.879         -4.466          7.058
         -1.000          0.899         -4.584          7.366
         -1.000          0.919         -4.695          7.665
         -1.000          0.939         -4.797          7.952
         -1.000          0.960         -4.892          8.223
         -1.000          0.980         -4.978          8.476
         -1.000          1.000         -5.055          8.709
  
         -0.980         -1.000         -5.205          9.176
         -0.980         -0.980         -5.128          8.933
         -0.980         -0.960         -5.042          8.669
         -0.980         -0.939         -4.948          8.386
         -0.980         -0.919         -4.845          8.086
         -0.980         -0.899         -4.734          7.774
         -0.980         -0.879         -4.615          7.450
         -0.980         -0.859         -4.490          7.120
         -0.980         -0.838         -4.359          6.785
         -0.980         -0.818         -4.222          6.448
         -0.980         -0.798         -4.081          6.114
         -0.980         -0.778         -3.936          5.785
         -0.980         -0.758         -3.791          5.465
         -0.980         -0.737         -3.646          5.158
         -0.980         -0.717         -3.504          4.867
         -0.980         -0.697         -3.367          4.596
         -0.980         -0.677         -3.238          4.350
         -0.980         -0.657         -3.122          4.132
         -0.980         -0.636         -3.021          3.949
         -0.980         -0.616         -2.939          3.803
         -0.980         -0.596         -2.880          3.699
         -0.980         -0.576         -2.845          3.640
         -0.980         -0.556         -2.838          3.627
         -0.980         -0.535         -2.857          3.659
         -0.980         -0.515         -2.901          3.737
         -0.980         -0.495         -2.969          3.857
         -0.980         -0.475         -3.057          4.015
         -0.980         -0.455         -3.162          4.206
         -0.980         -0.434         -3.279          4.426
         -0.980         -0.414         -3.405          4.671
         -0.980         -0.394         -3.537          4.935
         -0.980         -0.374         -3.673          5.214
         -0.980         -0.354         -3.809          5.504
         -0.980         -0.333         -3.944          5.802
         -0.980         -0.313         -4.076          6.104
         -0.980         -0.293         -4.204          6.406
         -0.980         -0.273         -4.327          6.705
         -0.980         -0.253         -4.443          6.998
         -0.980         -0.232         -4.552          7.282
         -0.980         -0.212         -4.654          7.554
         -0.980         -0.192         -4.747          7.811
         -0.980         -0.172         -4.832          8.050
         -0.980         -0.152         -4.908          8.270
         -0.980         -0.131         -4.975          8.468
         -0.980         -0.111         -5.033          8.641
         -0.980         -0.091         -5.082          8.789
         -0.980         -0.071         -5.120          8.909
         -0.980         -0.051         -5.150          9.000
         -0.980         -0.030         -5.169          9.062
         -0.980         -0.010         -5.179          9.092
         -0.980          0.010         -5.179          9.092
         -0.980          0.030         -5.169          9.062
         -0.980          0.051         -5.150          9.000
         -0.980          0.071         -5.120          8.909
         -0.980          0.091         -5.082          8.789
         -0.980          0.111         -5.033          8.641
         -0.980          0.131         -4.975          8.468
         -0.980          0.152         -4.908          8.270
         -0.980          0.172         -4.832          8.050
         -0.980          0.192         -4.747          7.811
         -0.980          0.212         -4.654          7.554
         -0.980          0.232         -4.552          7.282
         -0.980          0.253         -4.443          6.998
         -0.980          0.273         -4.327          6.705
         -0.980          0.293         -4.204          6.406
         -0.980          0.313         -4.076          6.104
         -0.980          0.333         -3.944          5.802
         -0.980          0.354         -3.809          5.504
         -0.980          0.374         -3.673          5.214
         -0.980          0.394         -3.537          4.935
         -0.980          0.414         -3.405          4.671
         -0.980          0.434         -3.279          4.426
         -0.980          0.455         -3.162          4.206
         -0.980          0.475         -3.057          4.015
         -0.980          0.495         -2.969          3.857
         -0.980          0.515         -2.901          3.737
         -0.980          0.535         -2.857          3.659
         -0.980          0.556         -2.838          3.627
         -0.980          0.576         -2.845          3.640
         -0.980          0.596         -2.880          3.699
         -0.980          0.616         -2.939          3.803
         -0.980          0.636         -3.021          3.949
         -0.980          0.657         -3.122          4.132
         -0.980          0.677         -3.238          4.350
         -0.980          0.697         -3.367          4.596
         -0.980          0.717         -3.504          4.867
         -0.980          0.737         -3.646          5.158
         -0.980          0.758         -3.791          5.465
         -0.980          0.778         -3.936          5.785
         -0.980          0.798         -4.081          6.114
         -0.980          0.818         -4.222          6.448
         -0.980          0.838         -4.359          6.785
         -0.980          0.859         -4.490          7.120
         -0.980          0.879         -4.615          7.450
         -0.980          0.899         -4.734          7.774
         -0.980          0.919         -4.845          8.086
         -0.980          0.939         -4.948          8.386
         -0.980          0.960         -5.042          8.669
         -0.980          0.980         -5.128          8.933
         -0.980          1.000         -5.205          9.176
  
         -0.960         -1.000         -5.346          9.636
         -0.960         -0.980         -5.269          9.383
         -0.960         -0.960         -5.184          9.107
         -0.960         -0.939         -5.089          8.811
         -0.960         -0.919         -4.986          8.499
         -0.960         -0.899         -4.875          8.172
         -0.960         -0.879         -4.756          7.834
         -0.960         -0.859         -4.629          7.488
         -0.960         -0.838         -4.496          7.136
         -0.960         -0.818         -4.358          6.782
         -0.960         -0.798         -4.214          6.429
         -0.960         -0.778         -4.066          6.081
         -0.960         -0.758         -3.916          5.740
         -0.960         -0.737         -3.765          5.410
         -0.960         -0.717         -3.615          5.095
         -0.960         -0.697         -3.469          4.798
         -0.960         -0.677         -3.329          4.523
         -0.960         -0.657         -3.199          4.275
         -0.960         -0.636         -3.082          4.059
         -0.960         -0.616         -2.981          3.877
         -0.960         -0.596         -2.900          3.736
         -0.960         -0.576         -2.844          3.637
         -0.960         -0.556         -2.813          3.583
         -0.960         -0.535         -2.809          3.577
         -0.960         -0.515         -2.831          3.616
         -0.960         -0.495         -2.880          3.699
         -0.960         -0.475         -2.950          3.823
         -0.960         -0.455         -3.040          3.984
         -0.960         -0.434         -3.145          4.176
         -0.960         -0.414         -3.262          4.394
         -0.960         -0.394         -3.387          4.635
         -0.960         -0.374         -3.517          4.893
         -0.960         -0.354         -3.649          5.164
         -0.960         -0.333         -3.781          5.444
         -0.960         -0.313         -3.911          5.728
         -0.960         -0.293         -4.038          6.015
         -0.960         -0.273         -4.159          6.299
         -0.960         -0.253         -4.275          6.578
         -0.960         -0.232         -4.384          6.849
         -0.960         -0.212         -4.486          7.109
         -0.960         -0.192         -4.580          7.355
         -0.960         -0.172         -4.665          7.584
         -0.960         -0.152         -4.742          7.795
         -0.960         -0.131         -4.809          7.985
         -0.960         -0.111         -4.867          8.151
         -0.960         -0.091         -4.916          8.293
         -0.960         -0.071         -4.955          8.408
         -0.960         -0.051         -4.985          8.496
         -0.960         -0.030         -5.004          8.555
         -0.960         -0.010         -5.014          8.584
         -0.960          0.010         -5.014          8.584
         -0.960          0.030         -5.004          8.555
         -0.960          0.051         -4.985          8.496
         -0.960          0.071         -4.955          8.408
         -0.960          0.091         -4.916          8.293
         -0.960          0.111         -4.867          8.151
         -0.960          0.131         -4.809          7.985
         -0.960          0.152         -4.742          7.795
         -0.960          0.172         -4.665          7.584
         -0.960          0.192         -4.580          7.355
         -0.960          0.212         -4.486          7.109
         -0.960          0.232         -4.384          6.849
         -0.960          0.253         -4.275          6.578
         -0.960          0.273         -4.159          6.299
         -0.960          0.293         -4.038          6.015
         -0.960          0.313         -3.911          5.728
         -0.960          0.333         -3.781          5.444
         -0.960          0.354         -3.649          5.164
         -0.960          0.374         -3.517          4.893
         -0.960          0.394         -3.387          4.635
         -0.960          0.414         -3.262          4.394
         -0.960          0.434         -3.145          4.176
         -0.960          0.455         -3.040          3.984
         -0.960          0.475         -2.950          3.823
         -0.960          0.495         -2.880          3.699
         -0.960          0.515         -2.831          3.616
         -0.960          0.535         -2.809          3.577
         -0.960          0.556         -2.813          3.583
         -0.960          0.576         -2.844          3.637
         -0.960          0.596         -2.900          3.736
         -0.960          0.616         -2.981          3.877
         -0.960          0.636         -3.082          4.059
         -0.960          0.657         -3.199          4.275
         -0.960          0.677         -3.329          4.523
         -0.960          0.697         -3.469          4.798
         -0.960          0.717         -3.615          5.095
         -0.960          0.737         -3.765          5.410
         -0.960          0.758         -3.916          5.740
         -0.960          0.778         -4.066          6.081
         -0.960          0.798         -4.214          6.429
         -0.960          0.818         -4.358          6.782
         -0.960          0.838         -4.496          7.136
         -0.960          0.859         -4.629          7.488
         -0.960          0.879         -4.756          7.834
         -0.960          0.899         -4.875          8.172
         -0.960          0.919         -4.986          8.499
         -0.960          0.939         -5.089          8.811
         -0.960          0.960         -5.184          9.107
         -0.960          0.980         -5.269          9.383
         -0.960          1.000         -5.346          9.636
  
         -0.939         -1.000         -5.478         10.084
         -0.939         -0.980         -5.401          9.821
         -0.939         -0.960         -5.316          9.534
         -0.939         -0.939         -5.221          9.226
         -0.939         -0.919         -5.118          8.900
         -0.939         -0.899         -5.006          8.559
         -0.939         -0.879         -4.886          8.206
         -0.939         -0.859         -4.759          7.844
         -0.939         -0.838         -4.625          7.476
         -0.939         -0.818         -4.484          7.105
         -0.939         -0.798         -4.338          6.734
         -0.939         -0.778         -4.187          6.366
         -0.939         -0.758         -4.033          6.004
         -0.939         -0.737         -3.877          5.653
         -0.939         -0.717         -3.720          5.314
         -0.939         -0.697         -3.566          4.992
         -0.939         -0.677         -3.415          4.691
         -0.939         -0.657         -3.272          4.413
         -0.939         -0.636         -3.140          4.165
         -0.939         -0.616         -3.021          3.949
         -0.939         -0.596         -2.921          3.771
         -0.939         -0.576         -2.842          3.634
         -0.939         -0.556         -2.788          3.541
         -0.939         -0.535         -2.760          3.494
         -0.939         -0.515         -2.760          3.494
         -0.939         -0.495         -2.787          3.540
         -0.939         -0.475         -2.839          3.630
         -0.939         -0.455         -2.913          3.758
         -0.939         -0.434         -3.006          3.922
         -0.939         -0.414         -3.112          4.114
         -0.939         -0.394         -3.229          4.331
         -0.939         -0.374         -3.353          4.568
         -0.939         -0.354         -3.480          4.819
         -0.939         -0.333         -3.609          5.081
         -0.939         -0.313         -3.737          5.350
         -0.939         -0.293         -3.862          5.621
         -0.939         -0.273         -3.983          5.891
         -0.939         -0.253         -4.099          6.157
         -0.939         -0.232         -4.208          6.416
         -0.939         -0.212         -4.310          6.664
         -0.939         -0.192         -4.404          6.900
         -0.939         -0.172         -4.490          7.120
         -0.939         -0.152         -4.567          7.322
         -0.939         -0.131         -4.635          7.504
         -0.939         -0.111         -4.694          7.664
         -0.939         -0.091         -4.743          7.800
         -0.939         -0.071         -4.783          7.910
         -0.939         -0.051         -4.813          7.995
         -0.939         -0.030         -4.832          8.051
         -0.939         -0.010         -4.842          8.080
         -0.939          0.010         -4.842          8.080
         -0.939          0.030         -4.832          8.051
         -0.939          0.051         -4.813          7.995
         -0.939          0.071         -4.783          7.910
         -0.939          0.091         -4.743          7.800
         -0.939          0.111         -4.694          7.664
         -0.939          0.131         -4.635          7.504
         -0.939          0.152         -4.567          7.322
         -0.939          0.172         -4.490          7.120
         -0.939          0.192         -4.404          6.900
         -0.939          0.212         -4.310          6.664
         -0.939          0.232         -4.208          6.416
         -0.939          0.253         -4.099          6.157
         -0.939          0.273         -3.983          5.891
         -0.939          0.293         -3.862          5.621
         -0.939          0.313         -3.737          5.350
         -0.939          0.333         -3.609          5.081
         -0.939          0.354         -3.480          4.819
