             kx             ky    energy_plus   energy_minus
         -1.000         -1.000         -4.977          8.630
         -1.000         -0.980         -4.898          8.396
         -1.000         -0.960         -4.810          8.141
         -1.000         -0.939         -4.713          7.867
         -1.000         -0.919         -4.608          7.578
         -1.000         -0.899         -4.495          7.277
         -1.000         -0.879         -4.374          6.965
         -1.000         -0.859         -4.246          6.647
         -1.000         -0.838         -4.112          6.325
         -1.000         -0.818         -3.973          6.002
         -1.000         -0.798         -3.830          5.682
         -1.000         -0.778         -3.685          5.368
         -1.000         -0.758         -3.539          5.064
         -1.000         -0.737         -3.395          4.773
         -1.000         -0.717         -3.255          4.501
         -1.000         -0.697         -3.122          4.251
         -1.000         -0.677         -3.000          4.028
         -1.000         -0.657         -2.893          3.837
         -1.000         -0.636         -2.804          3.683
         -1.000         -0.616         -2.739          3.570
         -1.000         -0.596         -2.699          3.503
         -1.000         -0.576         -2.687          3.482
         -1.000         -0.556         -2.703          3.510
         -1.000         -0.535         -2.747          3.585
         -1.000         -0.515         -2.817          3.705
         -1.000         -0.495         -2.909          3.865
         -1.000         -0.475         -3.018          4.061
         -1.000         -0.455         -3.142          4.289
         -1.000         -0.434         -3.277          4.543
         -1.000         -0.414         -3.417          4.818
         -1.000         -0.394         -3.562          5.111
         -1.000         -0.374         -3.708          5.417
         -1.000         -0.354         -3.853          5.732
         -1.000         -0.333         -3.996          6.053
         -1.000         -0.313         -4.134          6.376
         -1.000         -0.293         -4.267          6.697
         -1.000         -0.273         -4.393          7.015
         -1.000         -0.253         -4.513          7.325
         -1.000         -0.232         -4.625          7.625
         -1.000         -0.212         -4.729          7.911
         -1.000         -0.192         -4.824          8.182
         -1.000         -0.172         -4.911          8.434
         -1.000         -0.152         -4.988          8.665
         -1.000         -0.131         -5.056          8.873
         -1.000         -0.111         -5.115          9.055
         -1.000         -0.091         -5.164          9.209
         -1.000         -0.071         -5.203          9.335
         -1.000         -0.051         -5.233          9.431
         -1.000         -0.030         -5.253          9.495
         -1.000         -0.010         -5.262          9.527
         -1.000          0.010         -5.262          9.527
         -1.000          0.030         -5.253          9.495
         -1.000          0.051         -5.233          9.431
         -1.000          0.071         -5.203          9.335
         -1.000          0.091         -5.164          9.209
         -1.000          0.111         -5.115          9.055
         -1.000          0.131         -5.056          8.873
         -1.000          0.152         -4.988          8.665
         -1.000          0.172         -4.911          8.434
         -1.000          0.192         -4.824          8.182
         -1.000          0.212         -4.729          7.911
         -1.000          0.232         -4.625          7.625
         -1.000          0.253         -4.513          7.325
         -1.000          0.273         -4.393          7.015
         -1.000          0.293         -4.267          6.697
         -1.000          0.313         -4.134          6.376
         -1.000          0.333         -3.996          6.053
         -1.000          0.354         -3.853          5.732
         -1.000          0.374         -3.708          5.417
         -1.000          0.394         -3.562          5.111
         -1.000          0.414         -3.417          4.818
         -1.000          0.434         -3.277          4.543
         -1.000          0.455         -3.142          4.289
         -1.000          0.475         -3.018          4.061
         -1.000          0.495         -2.909          3.865
         -1.000          0.515         -2.817          3.705
         -1.000          0.535         -2.747          3.585
         -1.000          0.556         -2.703          3.510
         -1.000          0.576         -2.687          3.482
         -1.000          0.596         -2.699          3.503
         -1.000          0.616         -2.739          3.570
         -1.000          0.636         -2.804          3.683
         -1.000          0.657         -2.893          3.837
         -1.000          0.677         -3.000          4.028
         -1.000          0.697         -3.122          4.251
         -1.000          0.717         -3.255          4.501
         -1.000          0.737         -3.395          4.773
         -1.000          0.758         -3.539          5.064
         -1.000          0.778         -3.685          5.368
         -1.000          0.798         -3.830          5.682
         -1.000          0.818         -3.973          6.002
         -1.000          0.838         -4.112          6.325
         -1.000          0.859         -4.246          6.647
         -1.000          0.879         -4.374          6.965
         -1.000          0.899         -4.495          7.277
         -1.000          0.919         -4.608          7.578
         -1.000          0.939         -4.713          7.867
         -1.000          0.960         -4.810          8.141
         -1.000          0.980         -4.898          8.396
         -1.000          1.000         -4.977          8.630
  
         -0.980         -1.000         -5.130          9.100
         -0.980         -0.980         -5.051          8.856
         -0.980         -0.960         -4.963          8.590
         -0.980         -0.939         -4.867          8.305
         -0.980         -0.919         -4.762          8.003
         -0.980         -0.899         -4.648          7.688
         -0.980         -0.879         -4.527          7.362
         -0.980         -0.859         -4.398          7.028
         -0.980         -0.838         -4.263          6.689
         -0.980         -0.818         -4.123          6.349
         -0.980         -0.798         -3.977          6.011
         -0.980         -0.778         -3.828          5.677
         -0.980         -0.758         -3.678          5.352
         -0.980         -0.737         -3.527          5.039
         -0.980         -0.717         -3.379          4.742
         -0.980         -0.697         -3.236          4.465
         -0.980         -0.677         -3.101          4.212
         -0.980         -0.657         -2.978          3.989
         -0.980         -0.636         -2.871          3.799
         -0.980         -0.616         -2.784          3.649
         -0.980         -0.596         -2.721          3.541
         -0.980         -0.576         -2.685          3.479
         -0.980         -0.556         -2.676          3.465
         -0.980         -0.535         -2.697          3.499
         -0.980         -0.515         -2.744          3.580
         -0.980         -0.495         -2.817          3.704
         -0.980         -0.475         -2.910          3.867
         -0.980         -0.455         -3.020          4.064
         -0.980         -0.434         -3.143          4.291
         -0.980         -0.414         -3.276          4.541
         -0.980         -0.394         -3.414          4.811
         -0.980         -0.374         -3.555          5.096
         -0.980         -0.354         -3.696          5.392
         -0.980         -0.333         -3.836          5.695
         -0.980         -0.313         -3.973          6.000
         -0.980         -0.293         -4.105          6.306
         -0.980         -0.273         -4.231          6.609
         -0.980         -0.253         -4.350          6.905
         -0.980         -0.232         -4.462          7.192
         -0.980         -0.212         -4.566          7.466
